solarSystemId	solarSystemName	security	regionID	wormholeClassId	connectedSystems
30000001	Tanoo	0.858324068848468	10000001	7	30000003,30000005,30000007
30000002	Lashesih	0.751689146697987	10000001	7	30000005,30002973
30000003	Akpivem	0.846292352426726	10000001	7	30000001,30000007,30000052,30000084
30000004	Jark	0.817000531228727	10000001	7	30000005,30002509
30000005	Sasta	0.814336728101234	10000001	7	30000001,30000002,30000004,30000032
30000006	Zaid	0.864229153396284	10000001	7	30000008,30000023
30000007	Yuzier	0.906555510469601	10000001	7	30000001,30000003,30000008
30000008	Nirbhi	0.882115714763018	10000001	7	30000006,30000007,30000057,30000076
30000009	Sooma	0.57781948156321	10000001	7	30000010
30000010	Chidah	0.539052013003089	10000001	7	30000009,30000011,30000013
30000011	Shenela	0.456959354735403	10000001	7	30000010,30000038
30000012	Asabona	0.322884272450518	10000001	7	30000013,30000073
30000013	Onsooh	0.442816632886763	10000001	7	30000010,30000012,30000014,30000015,30000016
30000014	Shamahi	0.355242291075942	10000001	7	30000013,30000090,30000098
30000015	Sendaya	0.293932972095294	10000001	7	30000013,30000018,30000046,30001047
30000016	Nazhgete	0.391497055683935	10000001	7	30000013
30000017	Futzchag	0.172228559767585	10000001	7	30000018,30000020,30000022
30000018	Kazna	0.231262625040188	10000001	7	30000015,30000017
30000019	Podion	0.109704972598651	10000001	7	30000022
30000020	Lilmad	0.1604491933025	10000001	7	30000017
30000022	Jayneleb	0.113839956995903	10000001	7	30000017,30000019
30000023	Fovihi	0.869394349221088	10000001	7	30000006,30000024,30000030
30000024	Kiereend	0.840834548322929	10000001	7	30000023,30000025,30000027,30000028
30000025	Rashy	0.803265994106465	10000001	7	30000024,30000026,30000027,30000028
30000026	Ordize	0.695564173138387	10000001	7	30000025,30000028,30000029,30000030
30000027	Psasa	0.74991328878682	10000001	7	30000024,30000025,30000028
30000028	Eshtah	0.768432631428651	10000001	7	30000024,30000025,30000026,30000027,30000064
30000029	Lachailes	0.573051226792107	10000001	7	30000026,30000030
30000030	Kasrasi	0.573075677011312	10000001	7	30000023,30000026,30000029,30000112
30000031	Mohas	0.681783438209048	10000001	7	30000033,30000035
30000032	Hasiari	0.798187617055237	10000001	7	30000005,30000033,30000034
30000033	Radima	0.75391995235005	10000001	7	30000031,30000032
30000034	Alkez	0.782122909851242	10000001	7	30000032
30000035	Nimambal	0.594050570256138	10000001	7	30000031,30000036,30000114
30000036	Yishinoon	0.42471818203938	10000001	7	30000035,30000037
30000037	Uplingur	0.422069314931671	10000001	7	30000036,30002508
30000038	Dooz	0.423728855186249	10000001	7	30000011,30000039,30000040,30000043
30000039	Bayuka	0.400722036484829	10000001	7	30000038,30000040,30000041
30000040	Uzistoon	0.390645600822198	10000001	7	30000038,30000039,30000043
30000041	Bairshir	0.36408774701497	10000001	7	30000039,30000042
30000042	Moh	0.472835003937131	10000001	7	30000041
30000043	Sari	0.379343121688665	10000001	7	30000038,30000040,30000100
30000044	Faspera	0.12825847580852	10000001	7	30000045,30000046
30000045	Jaymass	0.216311339767522	10000001	7	30000044,30000046,30000048,30000049
30000046	Mifrata	0.303802990131855	10000001	7	30000015,30000044,30000045,30000047,30000048
30000047	Majamar	0.369186257658592	10000001	7	30000046,30000050
30000048	Ihal	0.492701244651463	10000001	7	30000045,30000046,30000106
30000049	Camal	0.212976884921542	10000001	7	30000045
30000050	Fera	0.477246353538886	10000001	7	30000047
30000051	Juddi	0.649136638606088	10000001	7	30000052,30000053,30000056,30000109
30000052	Maspah	0.799900976516899	10000001	7	30000003,30000051,30000053,30000054,30000055
30000053	Ibaria	0.730978722487679	10000001	7	30000051,30000052
30000054	Shala	0.715563758408769	10000001	7	30000052,30000055
30000055	Zemalu	0.725158525323317	10000001	7	30000052,30000054
30000056	Khankenirdia	0.613595835446554	10000001	7	30000051
30000057	Nikh	0.774198460516647	10000001	7	30000008,30000058,30000061,30000068
30000058	Amphar	0.702186994980565	10000001	7	30000057,30000059,30000068,30000105
30000059	Salashayama	0.665586231399705	10000001	7	30000058,30000060
30000060	Janus	0.545570545274901	10000001	7	30000059,30000062,30000063,30000065
30000061	Agha	0.718782620789887	10000001	7	30000057
30000062	Iosantin	0.450343350098048	10000001	7	30000060,30000065,30000067
30000063	Orva	0.509949588827775	10000001	7	30000060,30000064,30000069
30000064	Zet	0.569697661152562	10000001	7	30000028,30000063,30000066,30000069
30000065	Akhrad	0.358476524759994	10000001	7	30000060,30000062,30000067,30000118
30000066	Pirohdim	0.628696090011916	10000001	7	30000064,30000069
30000067	Sharir	0.396848687035075	10000001	7	30000062,30000065
30000068	Usroh	0.597457508093388	10000001	7	30000057,30000058
30000069	Thiarer	0.542032780841138	10000001	7	30000063,30000064,30000066
30000070	Gomati	0.387421323795231	10000001	7	30000073,30000074,30000075,30000085
30000071	Jangar	0.527328625423247	10000001	7	30000074
30000072	Nakah	0.363864338436054	10000001	7	30000074,30000075,30002982
30000073	Irshah	0.429506645047493	10000001	7	30000012,30000070,30000085
30000074	Hasateem	0.426496411960909	10000001	7	30000070,30000071,30000072,30000075
30000075	Assah	0.297802198708	10000001	7	30000070,30000072,30000074,30003703
30000076	Tidacha	0.820099044824579	10000001	7	30000008,30000077,30000079
30000077	Odlib	0.824516600898814	10000001	7	30000076,30000078,30000080
30000078	Jofan	0.779548203790202	10000001	7	30000077,30000080
30000079	Milu	0.769625317613343	10000001	7	30000076
30000080	Yadi	0.750268475690111	10000001	7	30000077,30000078,30000081
30000081	Buftiar	0.70874129661025	10000001	7	30000080
30000082	Jarizza	0.765430980328268	10000001	7	30000083,30000084,30000085
30000083	Ejahi	0.728910235177822	10000001	7	30000082,30000087
30000084	Asghatil	0.794778167987924	10000001	7	30000003,30000082,30000086
30000085	Bar	0.665838129516353	10000001	7	30000070,30000073,30000082,30000086,30000107
30000086	Sucha	0.658264787119109	10000001	7	30000084,30000085
30000087	Gelhan	0.701676427641211	10000001	7	30000083,30000088
30000088	Akeva	0.664834848645296	10000001	7	30000087
30000089	Sosa	0.301179027437288	10000001	7	30000090,30000091,30000092
30000090	Ilahed	0.31594346592522	10000001	7	30000014,30000089,30000093
30000091	Eshwil	0.218968471462247	10000001	7	30000089
30000092	Aranir	0.242788606982275	10000001	7	30000089,30000094
30000093	Ishkad	0.366035538407793	10000001	7	30000090
30000094	Hahyil	0.208114841651135	10000001	7	30000092
30000095	Asilem	0.284997695535313	10000001	7	30000097,30000102
30000096	Mahnagh	0.205003377966423	10000001	7	30000097
